tracadora,pa_proc_id,nome_proc,registros,qtd_apr,valor_apr
Ciclo_ureia,0803010087,UNIDADE DE REMUNERACAO PARA DESLOCAMENTO DE PACIENTE POR TRANSPORTE AEREO (CADA 200 MILHAS),10,80,14520
Fibrose_cistica,0604440014,"ALFADORNASE 2,5 MG (POR AMPOLA)",157594,3756895,0
Fibrose_cistica,0604580029,PANCREATINA 25000 UI (POR CAPSULA),117048,31916479,61598804.46999534
Fibrose_cistica,0604580010,PANCREATINA 10.000 UI (POR CAPSULA),84751,18835018,18458317.64000071
Fibrose_cistica,0604810016,TOBRAMICINA 300MG/5 ML SOLUCAO INALATORIA (POR AMPOLA),42754,1067511,0
Fibrose_cistica,0202110141,DOSAGEM DE CLORETO NO SUOR,35857,36502,5475300
Fibrose_cistica,0302040021,ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS,32292,53564,252962.10000015053
Fibrose_cistica,0604860021,Elexacaftor 100 mg/tezacaftor 50 mg/ivacaftor 75 mg + ivacaftor 150 mg (por comprimido revestido),25197,1803502,0
Fibrose_cistica,0301120021,ACOMPANHAMENTO DE PACIENTE COM FIBROSE CISTICA,19485,19424,534160
Galactosemia,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,715,518,310800
Galactosemia,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),101,98,617.4
Galactosemia,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,85,85,850
Galactosemia,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,32,32,1250.2000000000007
Galactosemia,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,30,52,400.9199999999999
Galactosemia,0301010269,AVALIACAO DO CRESCIMENTO NA PUERICULTURA,16,16,0
Galactosemia,0301010277,AVALIACAO DO DESENVOLVIMENTO DA CRIANCA NA PUERICULTURA,12,13,0
Galactosemia,0204060028,DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR),11,11,606.1000000000001
Gaucher_Fabry_NPC,0604240031,IMIGLUCERASE 400 U INJETAVEL (POR FRASCO-AMPOLA),28544,350240,0
Gaucher_Fabry_NPC,0604240023,ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA),9551,217121,0
Gaucher_Fabry_NPC,0604630018,MIGLUSTATE 100 MG (POR CAPSULA),1360,102771,0
Gaucher_Fabry_NPC,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,1188,628,376800
Gaucher_Fabry_NPC,0604240058,ALFAVELAGLICERASE 400 U INJETAVEL (POR FRASCO AMPOLA),623,7090,0
Gaucher_Fabry_NPC,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,603,599,6033.610000000001
Gaucher_Fabry_NPC,0604240120,[VERIFICAR nome SIGTAP],521,3132,0
Gaucher_Fabry_NPC,0301100012,ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,394,388,244.43999999999883
HAC,0604420013,"FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)",35084,1646163,0
HAC,0301120064,ACOMPANHAMENTO EM SERVICO DE REFERENCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGENITA,13723,13710,377025
HAC,0604120010,CIPROTERONA 50 MG (POR COMPRIMIDO),2893,51430,67373.29999999938
HAC,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,2745,2733,27413.61
HAC,0301010315,TELECONSULTA POR PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),903,881,5550.30000000009
HAC,0202110125,DETECCAO MOLECULAR DE MUTACAO EM HIPERPLASIA ADRENAL CONGENITA,443,443,29238
